train-s10271	22	0.0
test-s390	22	0.0
train-s13221	47	0.0
train-s12486	8	0.0
train-s9886	112	0.0
dev-s86	9	0.0
train-s3641	39	0.0
train-s10568	52	0.0
train-s10942	13	0.0
train-s6481	8	0.0
train-s2351	28	0.0
train-s8394	10	0.0
train-s11035	22	0.0
train-s1548	5	0.0
test-s960	44	0.0
train-s6609	27	0.0
train-s8598	18	0.0
train-s12856	31	0.0
train-s8326	28	0.0
test-s478	2	0.0
train-s12722	14	0.0
dev-s89	7	0.0
train-s7527	3	0.0
train-s4882	19	0.0
train-s6498	2	0.0
train-s8584	29	0.0
test-s626	22	0.0
train-s2801	7	0.0
train-s10271	30	0.0
train-s6037	25	0.0
test-s626	10	0.0
train-s8	2	0.0
train-s296	12	0.0
train-s4719	3	0.0
train-s4112	15	0.0
train-s5954	9	0.0
train-s3463	5	0.0
train-s220	2	0.0
train-s8081	18	0.0
train-s5632	31	0.0
test-s482	4	0.0
train-s994	11	0.0
train-s4090	20	0.0
train-s8166	32	0.0
train-s2566	18	0.0
train-s10709	18	0.0
test-s482	16	0.0
train-s555	8	0.0
train-s6095	15	0.0
train-s2697	30	0.0
train-s5472	16	0.0
train-s8316	23	0.0
train-s8177	3	0.0
train-s11878	9	0.0
train-s11637	18	0.0
train-s1470	5	0.0
dev-s1053	25	0.0
test-s1167	30	0.0
train-s13217	3	0.0
train-s1981	11	0.0
train-s9886	99	0.0
train-s12783	9	0.0
train-s6231	16	0.0
train-s5382	67	0.0
train-s5661	16	0.0
train-s7750	3	0.0
train-s8758	28	0.0
train-s2462	30	0.0
test-s19	5	0.0
train-s12699	25	0.0
train-s9502	16	0.0
train-s5183	5	0.0
train-s12643	48	0.0
train-s12605	5	0.0
train-s1315	10	0.0
train-s11348	15	0.0
train-s3641	70	0.0
dev-s1501	6	0.0
train-s12426	25	0.0
train-s1411	18	0.0
train-s1939	24	0.0
train-s11339	1	0.0
train-s9502	37	0.0
train-s9443	14	0.0
dev-s703	29	0.0
train-s13221	51	0.0
train-s7229	5	0.0
train-s6419	27	0.0
train-s9502	24	0.0
train-s11382	35	0.0
train-s4374	19	0.0
test-s1584	5	0.0
train-s11896	30	0.0
train-s4870	20	0.0
train-s5213	16	0.0
train-s6655	1	0.0
train-s8558	9	0.0
train-s6075	36	0.0
train-s9391	23	0.0
train-s10611	26	0.0
train-s5182	20	0.0
train-s11186	11	0.0
train-s8224	10	0.0
dev-s622	11	0.0
dev-s1002	7	0.0
train-s11775	14	0.0
train-s1477	26	0.0
train-s11339	2	0.0
dev-s1332	11	0.0
train-s10709	12	0.0
dev-s882	21	0.0
train-s12566	6	0.0
train-s10667	16	0.0
train-s5273	13	0.0
train-s3484	8	0.0
test-s1061	3	0.0
train-s1536	14	0.0
train-s13145	45	0.0
train-s10569	54	0.0
train-s2535	3	0.0
train-s9886	78	0.0
train-s8584	31	0.0
train-s11873	18	0.0
train-s6854	10	0.0
train-s6690	24	0.0
train-s6244	2	0.0
train-s6807	10	0.0
test-s960	33	0.0
train-s10853	38	0.0
dev-s1569	7	0.0
train-s9163	19	0.0
train-s3896	16	0.0
train-s12856	37	0.0
train-s11021	12	0.0
train-s7697	53	0.0
train-s516	15	0.0
train-s1110	21	0.0
train-s7766	3	0.0
train-s9970	24	0.0
train-s12028	15	0.0
train-s9502	21	0.0
train-s6155	13	0.0
train-s11281	16	0.0
train-s6774	19	0.0
train-s2423	12	0.0
train-s5661	19	0.0
train-s2949	3	0.0
train-s11866	21	0.0
train-s11662	46	0.0
train-s746	22	0.0
train-s1874	11	0.0
test-s573	10	0.0
train-s12856	46	0.0
train-s7123	18	0.0
train-s12774	31	0.0
test-s1083	4	0.0
train-s10348	15	0.0
train-s661	10	0.0
train-s3641	47	0.0
dev-s1612	2	0.0
train-s9970	23	0.0
train-s7753	13	0.0
train-s10512	14	0.0
train-s8050	24	0.0
test-s1055	16	0.0
train-s8788	18	0.0
dev-s933	1	0.0
train-s11244	15	0.0
dev-s441	16	0.0
train-s9212	9	0.0
train-s6237	16	0.0
train-s148	1	0.0
dev-s886	3	0.0
train-s11590	1	0.0
test-s1167	12	0.0
train-s9328	16	0.0
train-s13223	32	0.0
train-s8978	9	0.0
train-s1296	10	0.0
train-s5714	4	0.0
train-s8316	20	0.0
dev-s936	17	0.0
test-s782	3	0.0
train-s4870	37	0.0
dev-s703	33	0.0
train-s5759	13	0.0
train-s7229	6	0.0
train-s9583	6	0.0
train-s4374	20	0.0
train-s12028	13	0.0
train-s92	6	0.0
train-s12332	38	0.0
train-s2513	7	0.0
dev-s1332	12	0.0
train-s11905	5	0.0
train-s2660	13	0.0
train-s5803	1	0.0
test-s1083	2	0.0
train-s5177	29	0.0
train-s6937	37	0.0
