Type	Baseline	k2	k4	k8
Case Error	5 (2.3%)	6 (1.8%)	5 (2.0%)	5 (2.2%)
MWE Error	5 (2.3%)	5 (1.5%)	5 (2.0%)	5 (2.2%)
Naming Error	9 (4.1%)	11 (3.3%)	9 (3.5%)	8 (3.5%)
No Error	112 (50.7%)	173 (52.0%)	127 (50.0%)	112 (49.6%)
POS Error	5 (2.3%)	5 (1.5%)	3 (1.2%)	3 (1.3%)
Reported Speech	4 (1.8%)	2 (0.6%)	2 (0.8%)	2 (0.9%)
Tree Error	20 (9.0%)	29 (8.7%)	25 (9.8%)	22 (9.7%)
Wrong Head	38 (17.2%)	54 (16.2%)	42 (16.5%)	40 (17.7%)
advcl4advmod	2 (0.9%)	2 (0.6%)	2 (0.8%)	2 (0.9%)
advcl4det	0 (0.0%)	2 (0.6%)	0 (0.0%)	0 (0.0%)
amod4acl	2 (0.9%)	3 (0.9%)	2 (0.8%)	2 (0.9%)
amod4xcomp	2 (0.9%)	3 (0.9%)	3 (1.2%)	2 (0.9%)
compound4det	0 (0.0%)	2 (0.6%)	1 (0.4%)	1 (0.4%)
compound4obj	1 (0.5%)	2 (0.6%)	2 (0.8%)	2 (0.9%)
nmod4obl	0 (0.0%)	4 (1.2%)	2 (0.8%)	1 (0.4%)
obl4advcl|acl	1 (0.5%)	2 (0.6%)	2 (0.8%)	1 (0.4%)
obl4discourse|mark	0 (0.0%)	3 (0.9%)	1 (0.4%)	0 (0.0%)
Random Errors	15 (6.8%)	25 (7.5%)	21 (8.3%)	18 (8.0%)
