fiction_500 spoken	1.059 ± 0.047
fiction-academic spoken	1.072 ± 0.046
fiction-blog spoken	1.09 ± 0.044
fiction-legal spoken	1.065 ± 0.047
fiction-others spoken	2.413 ± 0.384
news_500 spoken	1.53 ± 0.071
news-academic spoken	1.552 ± 0.069
news-blog spoken	1.54 ± 0.065
news-legal spoken	1.547 ± 0.071
news-others spoken	2.63 ± 0.334
fiction_news spoken	1.196 ± 0.048
fiction_news-academic spoken	1.215 ± 0.048
fiction_news-blog spoken	1.223 ± 0.046
fiction_news-legal spoken	1.206 ± 0.048
all-genres spoken	2.309 ± 0.358
